bacterium,antibiotic,n_isolates,observed_resistance,has multidrug efflux pump_bact,performs hydrolysis_bact,porin loss_bact,porin mutation_bact,PBP modification_bact,ribosomal methylation_bact,biofilm protection_bact,target alteration_bact,target replacement_bact,target overexpression_bact,inactivation_bact,gram_negative_bact,outer_membrane_bact,intrinsic_beta_lactamase_bact,non_fermenter_bact,has multidrug efflux pump_abx,performs hydrolysis_abx,porin loss_abx,porin mutation_abx,PBP modification_abx,ribosomal methylation_abx,biofilm protection_abx,target alteration_abx,target replacement_abx,target overexpression_abx,inactivation_abx,gram_negative_abx,outer_membrane_abx,intrinsic_beta_lactamase_abx,non_fermenter_abx
Pseudomonas aeruginosa,Imipenem,70594,0.2652,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0.3,0.7,0.8,0.6,0.6,0.0,0.7,0.2,0.1,0.1,0.5,0.4,0.4,0.3,0.2
Pseudomonas aeruginosa,Meropenem,94710,0.2106,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0.4,0.8,0.8,0.6,0.5,0.0,0.7,0.2,0.1,0.1,0.5,0.4,0.4,0.3,0.2
Serratia marcescens,Amikacin,21218,0.0551,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0.5,0.1,0.3,0.2,0.0,0.8,0.7,0.7,0.1,0.1,0.7,0.3,0.3,0.0,0.3
Serratia marcescens,Amoxicillin-clavulanate,21218,0.914,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0.5,0.2,0.4,0.3,0.7,0.0,0.6,0.2,0.1,0.1,0.2,0.5,0.5,0.2,0.8
Serratia marcescens,Ampicillin,21184,0.8463,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0.4,0.9,0.5,0.5,0.9,0.0,0.9,1.0,1.0,0.5,0.9,0.5,0.5,0.9,0.9
Serratia marcescens,Ampicillin-sulbactam,6018,0.4623,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0.5,0.2,0.4,0.3,0.7,0.0,0.6,0.2,0.1,0.1,0.2,0.5,0.5,0.2,0.8
Serratia marcescens,Cefepime,21218,0.0599,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0.4,0.6,0.5,0.4,0.7,0.0,0.6,0.2,0.1,0.1,0.5,0.3,0.3,0.4,0.3
Serratia marcescens,Cefiderocol,672,0.0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0.2,0.3,0.1,0.1,0.4,0.0,0.5,0.2,0.1,0.1,0.5,0.2,0.1,0.1,0.1
Serratia marcescens,Ceftaroline,7721,0.2599,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0.3,0.5,0.4,0.3,0.5,0.0,0.6,0.2,0.1,0.1,0.4,0.4,0.4,0.5,0.8
Serratia marcescens,Ceftazidime-avibactam,7721,0.0158,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0.3,0.2,0.5,0.4,0.5,0.0,0.6,0.2,0.1,0.1,0.2,0.4,0.4,0.2,0.2
Serratia marcescens,Ceftibuten,2139,0.0556,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0.5,0.7,0.5,0.4,0.7,0.0,0.6,0.2,0.1,0.1,0.5,0.4,0.4,0.7,0.8
